,Start,Stock,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%]
20,2022-04-27,ADP,2022-10-31,187 days,11.538461538461538,10011.92300415039,10050.43049621582,0.11923004150390625,6.972554449729236,0.23125215144710332,0.8559326454522903,0.2701756413612493,0.33924339712212404,0.4736591572247009,-0.4882248087465957,-0.4882248087465957,98 days,98 days,9,55.55555555555556,2.3243840445142494,-7.402128979453049,-0.29904747529733156,1 days,1 days,0.7125448209501598,-0.26232428190578283
21,2022-03-08,ADSK,2022-11-28,265 days,9.782608695652174,10105.790145874023,10138.390060424805,1.0579014587402342,-0.3061958938866792,1.451691039169356,0.8933370972728791,1.6250204358477702,4.843755511777005,3.393553776399264,-0.4277789994858061,-0.4277789994858061,95 days,95 days,11,63.63636363636363,7.017151651944542,-5.623434007381634,0.757195498467711,3 days,2 days,2.0627558512725566,0.8023538007387391
22,2022-06-30,ADT,2022-07-08,8 days,33.33333333333333,10000.08886051178,10000.08886051178,0.0008886051177978515,8.130073576104612,0.03732821437245626,0.006310832645351078,5.914942840380083,inf,,-0.0,,,,1,100.0,0.15722298617371067,0.15722298617371067,0.15722298617371067,1 days,1 days,,0.15722298617371067
23,2022-03-02,AEO,2022-06-17,107 days,15.789473684210526,10002.818848609924,10002.818848609924,0.028188486099243164,-43.93716739568121,0.09349759626042786,0.20416222533983022,0.4579573724022654,0.5525435195074668,1.0128290011601104,-0.092313308715819,-0.092313308715819,79 days,79 days,6,83.33333333333334,11.973579509857535,-6.420353572888948,3.011922110772791,3 days,2 days,3.947137293192426,3.1536105750237096
24,2022-03-03,AEP,2022-12-02,274 days,3.1413612565445024,9999.34432220459,10000.0,-0.006556777954101562,3.7779033257374808,-0.008650736879423082,0.13346896506539185,0.0,0.0,0.0,-0.09624641418457536,-0.09624641418457536,218 days,218 days,3,66.66666666666666,1.3812450217296934,-3.241241721000565,-0.44112778244483897,1 days,1 days,0.6108335828658995,-0.4204608092091185
25,2022-03-07,AER,2022-06-17,102 days,5.47945205479452,9992.079990386963,10000.0,-0.0792000961303711,-9.819999130850462,-0.27313769488240824,0.4151349636312296,0.0,0.0,0.0,-0.19079990386963175,-0.19079990386963175,31 days,31 days,2,50.0,3.1289372453920716,-4.3983379633363295,-0.706003178770831,1 days,1 days,0.7113908188670971,-0.634700358972129
26,2022-04-27,AFL,2022-11-25,212 days,6.756756756756757,10006.333904266357,10007.099433898926,0.06333904266357422,21.543398803352876,0.10787155829752315,0.09058544253546437,1.1908266414362467,2.5126843131909538,3.391004023164653,-0.03181109711478669,-0.01987949196149419,115 days,59 days,7,71.42857142857143,1.559728339103228,-0.6470178098166635,0.42515385300314623,3 days,2 days,3.707092447542391,0.42797513561380696
27,2022-07-05,AGCO,2022-08-02,28 days,19.047619047619047,10021.595321655273,10021.595321655273,0.21595321655273436,9.19636194585833,2.622440866768061,0.6334649587806831,4.139835724798153,inf,,-0.0,,,,2,100.0,5.532414764753879,1.6670313324704589,3.581693935171293,1 days,1 days,,3.599723048612169
28,2022-03-02,AGIO,2022-06-17,107 days,11.842105263157894,10003.689981460571,10003.689981460571,0.03689981460571289,-44.29634144971511,0.12240430155872062,0.24714626715195928,0.49527068714924044,1.0315650260574947,1.5814462947549695,-0.07740022659301626,-0.07740022659301626,51 days,51 days,6,33.33333333333333,7.44431710152762,-7.615236343804666,-0.6769764350815111,1 days,1 days,0.7147522136134261,-0.5771979135523964
29,2022-03-29,AIG,2022-11-07,223 days,5.161290322580645,10005.971252441406,10005.971252441406,0.0597125244140625,-5.012161916323438,0.09709914493472027,0.06981437085308452,1.3908188779506887,2.601265251067563,3.327549689751368,-0.02918037414550989,-0.02918037414550989,4 days,4 days,5,80.0,1.7156439566184734,-0.6465599706547587,0.773292408646653,3 days,2 days,7.005680331892754,0.7766064998300881
