,Increasing_precision,Increasing_recall,Increasing_f1-score,Increasing_support,Decreasing_precision,Decreasing_recall,Decreasing_f1-score,Decreasing_support,Neutral_precision,Neutral_recall,Neutral_f1-score,Neutral_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
10,0.38320992732757436,0.9996423142269516,0.5540329575021683,11183,0.6,0.0005602764030254926,0.001119507416736636,10709,0.0,0.0,0.0,7290,0.38328421629771775,0.32773664244252476,0.3334008635433257,0.18505082163963496,29182,0.3670357280962327,0.38328421629771775,0.21272494581154755,29182
11,0.36799452117338205,0.5765894661539838,0.44925971085176797,11183,0.3997427101200686,0.43524138575030347,0.416737449148375,10709,0.0,0.0,0.0,7290,0.38067987115345076,0.25591241043115026,0.33727695063476243,0.2886657200000477,29182,0.28771596919189046,0.38067987115345076,0.3250946710090217,29182
12,0.38317340644276904,0.9998211571134759,0.5540222480985061,11183,0.0,0.0,0.0,10709,0.0,0.0,0.0,7290,0.3831471455006511,0.12772446881425634,0.33327371903782527,0.18467408269950203,29182,0.14683805785242568,0.3831471455006511,0.2123100130383659,29182
13,0.3855226467706685,0.9148707860144862,0.5424564566156782,11183,0.5454545454545454,0.0005602764030254926,0.001119402985074627,10709,0.3289023927079377,0.11879286694101508,0.1745439887130908,7290,0.38047426495785075,0.41995986164438387,0.34474130978617556,0.2393732827712812,29182,0.43006890990850455,0.38047426495785075,0.25189171128156823,29182
14,0.36626434212486964,0.21979790753822767,0.27472895942774117,11183,0.39282812415362117,0.677187412456812,0.49722317449434356,10709,0.35261845386533663,0.19396433470507546,0.25026548672566373,7290,0.38119388664245085,0.3705703067146091,0.3636498849000384,0.3407392068825828,29182,0.37260362717503437,0.38119388664245085,0.35026702512406427,29182
15,0.3915897349030236,0.8268800858445855,0.5314825990746328,11183,0.625,0.0009337940050424876,0.0018648018648018648,10709,0.3405979827089337,0.25939643347050756,0.2945024139542127,7290,0.38201631142485093,0.45239590587065237,0.36240343777337847,0.27594993829788245,29182,0.464506623924633,0.38201631142485093,0.27792689556397754,29182
16,0.3684722222222222,0.23723508897433604,0.28863624000435184,11183,0.3925183557532558,0.6839107292931179,0.4987741759738491,10709,0.3578092085464941,0.16310013717421123,0.2240648261566004,7290,0.382633130011651,0.3729332621739907,0.361415318480555,0.3371584140449338,29182,0.3746327552318782,0.382633130011651,0.34962046141985587,29182
17,0.3887077128600055,0.8846463381918984,0.5400993612491128,11183,0.5789473684210527,0.0010271734055467363,0.0020507084265473526,10709,0.3515625,0.17901234567901234,0.23722959461916013,7290,0.3841066410801179,0.4397391937603527,0.3548952857588192,0.25979322143160677,29182,0.44924118793552514,0.3841066410801179,0.26698978610658636,29182
18,0.36748404433993953,0.19565411785746223,0.25535391258680046,11183,0.38935546389703324,0.7316276029507891,0.5082381940840686,10709,0.36747181964573267,0.15651577503429356,0.21952861952861955,7290,0.38256459461311765,0.3747704426275685,0.361265831947515,0.3277069087331629,29182,0.375507206358175,0.38256459461311765,0.3392059920933492,29182
19,0.3670482266841809,0.17490834302065636,0.2369186046511628,11183,0.38769305019305017,0.7501167242506304,0.5111839384008399,10709,0.36865624002553465,0.15843621399176955,0.22162525184687712,7290,0.3818792406277843,0.37446583896758856,0.3611537604210187,0.3232425982996266,29182,0.37502601546544845,0.3818792406277843,0.3337460639473745,29182
20,0.3820500245218244,0.5572744344093714,0.45331878523367886,11183,0.4128193109913288,0.3289756279764684,0.3661591227979005,10709,0.3662361623616236,0.2178326474622771,0.27318080165147085,7290,0.3886985127818518,0.38703516595825893,0.3680275699493723,0.36421956989435006,29182,0.38939103040401407,0.3886985127818518,0.37633301574087347,29182
21,0.3879579431575489,0.42233747652687115,0.40441837564755745,11183,0.41143236955799267,0.4624147912970399,0.4354363596394812,10709,0.36182622687047467,0.2467764060356653,0.293426847170119,7290,0.39318758138578574,0.38707217986200537,0.37717622461985884,0.37776052748571926,29182,0.390044414975436,0.39318758138578574,0.38807416853252025,29182
22,0.3825476694915254,0.2583385495841903,0.3084067253803043,11183,0.39839766933721776,0.664020916985713,0.4980040619090973,10709,0.3663052102618355,0.18998628257887518,0.25020323367356156,7290,0.390137756151052,0.3824168496968596,0.3707819163829262,0.352204673654321,29182,0.384306634626303,0.390137756151052,0.36344388603909017,29182
23,0.38266756939742724,0.25270499865867835,0.30439465747522626,11183,0.3974637076589354,0.6672891960033617,0.4981873954266592,10709,0.36930330015715035,0.1934156378600823,0.253871083903493,7290,0.39003495305325203,0.383144859071171,0.3711366108407074,0.35215104560179283,29182,0.38475880104299204,0.39003495305325203,0.36288994838688277,29182
24,0.38917047842749414,0.5629974067781454,0.46021709732831406,11183,0.4235517568850902,0.3748249136240545,0.3977013771921133,10709,0.37170399773178336,0.17983539094650206,0.24239622815937875,7290,0.3982249331779864,0.3948087443481226,0.3725525704495673,0.3667715675599354,29182,0.397424143931252,0.3982249331779864,0.3828613649186056,29182
25,0.39054516871596207,0.6220155593311276,0.47982341174036014,11183,0.43819444444444444,0.35353441030908583,0.3913380536461833,10709,0.3815452215305749,0.1429355281207133,0.2079632771180521,7290,0.40381056815845384,0.4034282782303271,0.3728284992536423,0.35970824750153185,29182,0.40578286588527346,0.40381056815845384,0.3794378973401421,29182
26,0.3874679090995531,0.3643923812930341,0.3755760368663595,11183,0.4114686796450801,0.5802595947334018,0.48150013560110033,10709,0.37636822902048833,0.18395061728395062,0.2471206118124021,7290,0.3985333424713865,0.3917682725883738,0.3762008644367955,0.368065594759954,29182,0.3935027108264966,0.3985333424713865,0.3823576530923546,29182
27,0.3935906271536871,0.5106858624698203,0.44455688319775816,11183,0.42475908080059305,0.42805117191147635,0.42639877215013255,10709,0.3731958762886598,0.19862825788751715,0.25926589077887197,7290,0.4024055924885203,0.3971818614143133,0.3791217640896046,0.37674051537558756,29182,0.3999337577238559,0.4024055924885203,0.39160552462251647,29182
28,0.3922873935468394,0.5849056603773585,0.4696126646803317,11183,0.4369963797734439,0.34942571668689887,0.3883354088833541,10709,0.37110266159695815,0.2008230452674897,0.2606141522029372,7290,0.402542663285587,0.4001288116390805,0.3783848074439157,0.372854075255541,29182,0.40340218477383116,0.402542663285587,0.38757588555998224,29182
29,0.3933349954292363,0.4232316909594921,0.407736044107512,11183,0.41427410617551463,0.5712951722849939,0.4802763276680928,10709,0.3901721965560689,0.12743484224965707,0.19212077344638614,7290,0.40367349736138713,0.3992604327202733,0.3739872351647144,0.3600443817406636,29182,0.40022897573204297,0.40367349736138713,0.3804931743086858,29182
