date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume,label
2013-07-12,"Benzinga Market Primer: Friday, July 12",RSH,0.0260606245561079,inf,0.0,0.0,0.0,-0.0045249326990771,0.0,0.0,-1.0,2
2013-07-23,Will Financing be Enough For This Tech Retailer's Record Breaking Turn Around?,RSH,0.0,,0.0,0.0,0.0,-0.0019751607657079,0.0466626694588536,0.0,,2
2013-07-23,Will Financing be Enough for this RadioShack's Record Breaking Turn Around? (RSH),RSH,0.0,,0.0,0.0,0.0,-0.0019751607657079,0.0466626694588536,0.0,,2
2013-07-23,Will Financing be Enough for this Tech Retailer's Record Breaking Turn Around?,RSH,0.0,,0.0,0.0,0.0,-0.0019751607657079,0.0466626694588536,0.0,,2
2013-07-23,US Stock Futures Up; All Eyes On Apple,RSH,0.0,,0.0,0.0,0.0,-0.0019751607657079,0.0466626694588536,0.0,,2
2013-07-23,"Earnings Scheduled For July 23, 2013",RSH,0.0,,0.0,0.0,0.0,-0.0019751607657079,0.0466626694588536,0.0,,2
2013-07-23,Will Financing Be Enough for RadioShack's Record Breaking Turn Around? (RSH),RSH,0.0,,0.0,0.0,0.0,-0.0019751607657079,0.0466626694588536,0.0,,2
2014-01-27,US Stock Futures Gain Ahead Of Home-Sales Data,RSH,0.0,,0.0,-0.0154320992499488,0.0,0.0008236635028613,-0.0041016602774136,0.0,,2
2014-02-04,Market Wrap for February 4: Investors and Traders Go Bargain Hunting,RSH,-0.0520375745699596,inf,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2
2014-02-04,Market Wrap For February 4: Investors And Traders Go Bargain Hunting,RSH,-0.0520375745699596,inf,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2
2014-02-05,Market Wrap For February 5: Markets Unsure of Which Direction to Take,RSH,0.0,-1.0,-0.0520375745699596,0.0,0.0,0.0,0.0,0.0,,2
2014-02-05,Market Wrap For February 5: Markets Unsure Of Which Direction To Take,RSH,0.0,-1.0,-0.0520375745699596,0.0,0.0,0.0,0.0,0.0,,2
2014-02-25,3 Reasons to Stick with Wal-Mart for the Long Term,RSH,0.0,,0.0,-0.0182222154405381,-0.0826623235133878,0.0,0.043279451884312,0.0078089909081033,inf,0
2014-03-04,"#PreMarket Primer: Tuesday, March 4: US Takes Steps To Limit Putin's Forces",RSH,0.0,-1.0,-0.0197865584416631,0.0,0.0102189332007762,0.0078089909081033,0.0,0.025629418557598,inf,0
2014-03-04,#PreMarket Primer: Tuesday March 4: US Takes Steps To Punish Putin,RSH,0.0,-1.0,-0.0197865584416631,0.0,0.0102189332007762,0.0078089909081033,0.0,0.025629418557598,inf,0
2014-03-04,Market Wrap For March 4: Bulls Take Over as Ukraine Fears Dissipate,RSH,0.0,-1.0,-0.0197865584416631,0.0,0.0102189332007762,0.0078089909081033,0.0,0.025629418557598,inf,0
2014-03-04,Market Wrap For March 4: Bulls Take Over As Ukraine Fears Dissipate,RSH,0.0,-1.0,-0.0197865584416631,0.0,0.0102189332007762,0.0078089909081033,0.0,0.025629418557598,inf,0
2014-03-05,#PreMarket Primer: Wednesday March 5: Markets Recover But Tension Still Running High,RSH,0.025629418557598,inf,0.0,-0.0197865584416631,0.0,0.0102189332007762,0.0078089909081033,0.0,-1.0,2
2014-03-05,"#PreMarket Primer: Wednesday, March 5: Markets Recover But Tension Still Running High",RSH,0.025629418557598,inf,0.0,-0.0197865584416631,0.0,0.0102189332007762,0.0078089909081033,0.0,-1.0,2
2014-03-06,7 Of The Most Hated Stocks In The Market,RSH,0.0,-1.0,0.025629418557598,0.0,-0.0197865584416631,0.0,0.0102189332007762,-0.00729769619961,inf,1
2014-03-06,Seven Disliked Stocks,RSH,0.0,-1.0,0.025629418557598,0.0,-0.0197865584416631,0.0,0.0102189332007762,-0.00729769619961,inf,1
2014-03-06,Markt Wrap For March 6: Investors Find Positives In Jobless Claims,RSH,0.0,-1.0,0.025629418557598,0.0,-0.0197865584416631,0.0,0.0102189332007762,-0.00729769619961,inf,1
2014-03-06,Markt Wrap For March 6: Investors Find Positives in Jobless Claims,RSH,0.0,-1.0,0.025629418557598,0.0,-0.0197865584416631,0.0,0.0102189332007762,-0.00729769619961,inf,1
2014-03-06,Market Wrap For March 6: Investors Find Positives In Jobless Claims,RSH,0.0,-1.0,0.025629418557598,0.0,-0.0197865584416631,0.0,0.0102189332007762,-0.00729769619961,inf,1
