,Start,Stock,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%]
1471,2022-03-02,GILD,2023-03-15,378 days,14.559386973180077,9965.989372253418,10010.361633300781,-0.34010627746582034,37.29197537975326,-0.3283977532067772,0.3586171699331993,0.0,0.0,0.0,-0.443659330284385,-0.443659330284385,321 days,321 days,21,47.61904761904761,3.821110383606219,-4.585162227743433,-0.2944952219075869,4 days,2 days,0.6822344006703002,-0.27637135719349815
1472,2022-06-10,GILT,2022-06-15,5 days,0.0,10000.0,10000.0,0.0,0.16393818095376345,0.0,0.0,,,,-0.0,,,,0,,,,,,,,
1473,2022-05-25,GIL,2022-05-27,2 days,0.0,10000.0,10000.0,0.0,4.536214241999837,0.0,0.0,,,,-0.0,,,,0,,,,,,,,
1474,2022-03-11,GIS,2023-03-31,385 days,8.646616541353383,9983.470794677734,10010.127014160156,-0.16529205322265625,41.09964314206353,-0.15659928687404845,0.41688742056101397,0.0,0.0,0.0,-0.5058329570918341,-0.5058329570918341,281 days,281 days,14,57.14285714285714,3.2258028341490608,-6.3478582424067564,-0.10087517136324609,1 days,1 days,0.9226765018954415,-0.07235586894785032
1475,2022-06-14,GLAD,2022-06-17,3 days,0.0,10000.0,10000.0,0.0,-1.1133400137705634,0.0,0.0,,,,-0.0,,,,0,,,,,,,,
1476,2022-04-27,GLBE,2022-11-23,210 days,6.802721088435375,10014.83999633789,10023.799995422363,0.14839996337890624,-13.993317906171038,0.25453475010970283,0.23406521428237428,1.0874522764524688,2.266919931685064,2.1191073363575326,-0.1201141375628545,-0.1201141375628545,189 days,189 days,6,66.66666666666666,14.798405838498185,-8.684347977367345,2.020031318234339,3 days,2 days,1.8581092980372838,2.3693401443705686
1477,2022-10-31,GLCNF,2022-11-04,4 days,0.0,10000.0,10000.0,0.0,5.381943237174489,0.0,0.0,,,,-0.0,,,,0,,,,,,,,
1478,2022-06-22,GLDD,2022-07-19,27 days,36.84210526315789,9998.399997711182,10000.0,-0.016000022888183595,-7.791230452652632,-0.21200276460251466,0.08057842281961197,0.0,0.0,0.0,-0.021200027465817506,-0.021200027465817506,18 days,18 days,5,60.0,0.8547041290593693,-4.018543438576794,-0.5813677972726694,4 days,2 days,0.3234475001927761,-0.5655935097201525
1479,2022-05-17,GLD,2023-04-25,343 days,7.627118644067797,9967.779998779297,10021.280029296875,-0.32220001220703126,9.620264046524843,-0.3440064665394371,0.37848462752772866,0.0,0.0,0.0,-0.5338642405079197,-0.3283322667383348,29 days,16 days,13,38.46153846153847,1.253817608562513,-1.8640958960437493,-0.23317026435627497,3 days,2 days,0.5975623697364093,-0.22826397681790725
1480,2022-03-08,GLMD,2022-05-23,76 days,7.4074074074074066,10000.395999670029,10000.395999670029,0.003959996700286865,-51.85185446824225,0.01848132629285182,0.006187649545524532,2.986808828922638,inf,,-0.0,,,,2,100.0,7.235617171844622,4.651158492543949,5.935506647660294,1 days,1 days,,5.9433878321942855
